trial,base_fast,base_slow,vol_lookback,vol_scale,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
142,47,134,44,0.33896445805472203,0.9573254249111013,0.9860776290393037,0.2952976941735026,0.6881160493863944,-0.8559773432928524,-0.5737052693439783,1.4376102064101235
143,50,155,51,0.39246794320197637,0.940166353178025,0.9678730226106564,0.2863725418990166,0.6760494031508764,-0.7987010639536839,-0.5910560605264833,1.3853334716315735
144,45,128,40,0.3448536406113499,0.9992400372517699,1.0353109842489694,0.3198489035421477,0.7206048805432145,-0.8009315067563297,-0.570294833304015,1.8035473498599732
145,45,126,80,0.35734839701504056,0.9630468591735788,0.9970267367796363,0.30055188419611856,0.6971845405659067,-0.8540671880263072,-0.549453129941564,1.6989938803028732
146,41,147,39,0.683374094777286,0.94073725389372,0.9726260621086354,0.2888207093382249,0.6755319326372745,-0.9263978747886091,-0.5955616764931162,1.5944404107457733
147,43,119,40,0.42902693310337126,0.950803010974886,0.9889650273632274,0.2960028810813624,0.6890321533854327,-0.8202302397595463,-0.5383633879111509,1.908100819417073
148,35,163,42,0.5147114258129746,0.887180845859378,0.9169785846831514,0.2619775619717768,0.6421550353154302,-0.9355829178072514,-0.5910560605264832,1.4898869411886735
149,46,136,45,0.40591088077605886,0.9909934001047868,1.0187000695374182,0.3123507646403543,0.710332038312858,-0.8435146660014338,-0.5737052693439788,1.3853334716315735
150,45,137,44,0.47185160763462847,1.0188600985960266,1.044475698637516,0.3253953328530095,0.7273926944807757,-0.798701063953684,-0.5737052693439781,1.2807800020744737
151,46,137,45,0.46931931352597483,1.0083223861428143,1.0349835208798748,0.3204624851236584,0.720838141553063,-0.7987010639536838,-0.5737052693439781,1.3330567368530235
152,46,138,45,0.4671733139579282,0.9904218604107334,1.0160374604522229,0.3106746487436003,0.7081184046635655,-0.7987010639536838,-0.5737052693439781,1.2807800020744737
153,46,139,45,0.47925689172571595,0.9744981172514664,1.0032503213796689,0.30432899473179864,0.6997576656325246,-0.7987010639536839,-0.5737052693439784,1.4376102064101235
154,46,154,48,0.5634820000086403,0.9297343369380595,0.958486541066262,0.28088679299288155,0.6657839440471348,-0.9242267221519206,-0.5910560605264832,1.4376102064101235
155,44,145,46,0.5339892265100102,0.9115643129911191,0.9392709824237505,0.27302251446511194,0.6573455126441731,-0.9202751474509991,-0.6575651311659272,1.3853334716315735
156,47,138,43,0.5928431173584544,0.8913399307510147,0.9200921348792171,0.2634223355070331,0.6441408128958837,-0.9206406680564616,-0.7328253304688654,1.4376102064101235
157,45,149,44,0.4021410686891237,0.9695796338146733,0.9983318379428757,0.3018577882659359,0.696852854950354,-0.8092875347548502,-0.5691357061743896,1.4376102064101235
158,48,158,48,0.47159709082538515,0.890363055259596,0.9170241899966565,0.2613930443682526,0.6413968184137336,-0.9208196595329331,-0.59070165981835,1.3330567368530235
159,45,136,41,1.2215554167044897,0.8363193831234408,0.8870278158586342,0.24200185144428588,0.6131523993933123,-0.9609119738422273,-0.7412201293523871,2.5354216367596725
160,46,165,51,0.4320553577696629,0.9194480709117472,0.9482002750399496,0.2775755822216628,0.663031491967626,-0.9136121739522299,-0.5987209842254275,1.4376102064101235
161,47,145,45,0.51352593724314,0.8889665925856092,0.9208554008005246,0.26381510599906854,0.6450641163932385,-0.9092860032654705,-0.6143721753264926,1.5944404107457733
162,46,137,46,0.47779872573750015,0.9953979352284269,1.0231046046610583,0.3142771547530183,0.7127758088971374,-0.80308240165696,-0.5906064551334311,1.3853334716315735
163,44,131,47,0.3841576661951445,0.9898062441266022,1.0248316564282307,0.3145214729216337,0.7135980928022608,-0.8156078545060627,-0.5737052693439784,1.7512706150814232
