trial,base_fast_low,base_slow_low,base_fast_high,base_slow_high,vol_lookback,vol_threshold_pct,vol_scale,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
978,47,170,23,193,83,57.25047545063631,0.31141351680624757,0.9845748363798136,0.9994737057917004,0.30259530174506355,0.7002210103897196,-0.8576344582409047,-0.4550659960179366,1.4898869411886735
979,44,149,21,134,81,58.8176448757775,0.4909067554024319,0.9924496311742518,1.008916802629495,0.30651673282776515,0.7057649045788505,-0.8121888784450847,-0.5446535762268727,1.6467171455243232
980,45,192,23,184,91,55.78718196393568,0.38068393488006413,0.9788915984563096,0.9937904678681964,0.2995133249486652,0.6951434453289983,-0.8446924806273648,-0.537115188603912,1.4898869411886735
981,44,155,20,170,76,57.7502343847636,0.4431371146481201,0.96598205184002,0.9814036885996922,0.293575409001797,0.6884876657317431,-0.8473860147826873,-0.47484896170795476,1.5421636759672235
982,43,163,22,207,86,56.709047889797745,0.5414467815282278,1.0051472855275392,1.0190006202438548,0.3127088892823675,0.7111504763292819,-0.8830023196839154,-0.46979716243560954,1.3853334716315735
983,46,176,24,181,94,54.76250734295827,0.34368059153836567,1.0211092402029527,1.036530876962625,0.3199604889493637,0.7233421577306813,-0.8446924806273646,-0.5001988770296246,1.5421636759672235
984,46,168,19,199,90,59.68715008441629,0.6271827169943056,0.9586372411724045,0.9724905758887202,0.28911553429511794,0.6803399829218463,-0.8830023196839154,-0.4332235627180989,1.3853334716315735
985,48,140,21,163,87,58.591247886073674,0.49050981057348114,1.0015993430895156,1.0180665145447587,0.311363430424898,0.7127663764801574,-0.8571507700418232,-0.4647409400251443,1.6467171455243232
986,45,158,20,189,84,56.35849754588886,0.4253427222361644,1.0090170489129993,1.0244386856726715,0.31463859036942177,0.7158515692963333,-0.8446924806273648,-0.5047575812021153,1.5421636759672235
987,44,173,22,173,92,57.699268308911364,0.2849233306098897,0.9574155381273504,0.9749282442781646,0.2907606993869778,0.6850262980213546,-0.8084666348579201,-0.4211730144262201,1.7512706150814232
